Special Attributes,,,
CAND_NAME,,CAND_ID,SPECIAL_ID
KIRRON KHER,,cand7816,1
Ravindra Shyamnarayan Shukla alias Ravi Kishan,,cand6217,2
SUNNY DEOL,,cand4055,3
HEMA MALINI,,cand5648,4
JAYA PRADA,,cand8055,5
RAJ BABBAR,,cand5669,6
Dinesh Lal Yadav Nirahua,,cand6270,7
MANOJ TIWARI,,cand7894,8
HANS RAJ HANS,,cand7972,9
SHATRUGHAN SINHA,,cand938,10
BABUL SUPRIYO,,cand6886,11
NUSRATH JAHAN,,cand2370,12
Urmila Matondkar,,cand3410,13
Prakash Raj,,cand2248,14
Poonam Shatrughan Sinha,,cand5861,15
CHIRAG KUMAR PASWAN,,cand1095,16
BHAGWANT MANN,,cand4285,17
