spl_attribute_id,name,party,constituency,cand_id
cb1,Kangana Ranaut,BJP,Mandi,cand105
cb2,Arun Govil,BJP,Meerut,cand7084
cb3,Ravindra Shukla,BJP,Gorakhpur,cand682
cb4,HEMAMALINI DHARMENDRA DEOL,BJP,Mathura,cand6313
cb5,Manoj Tiwari,BJP,Northeast Delhi,cand1379
cb6,Yusuf Pathan,TMC,Baharampore,cand4325
cb7,Shatrughan Sinha,TMC,Asansol,cand4211
cb8,Devendra Jhajharia,BJP,Churu,cand8604
cb9,Dinesh Lal Yadav,BJP,Azamgarh,cand2360
cb10,Suresh Gopi,BJP,Thrissur,cand6337
cb11,Radhika Sarathkumar,BJP,Virudhunagar,cand8644
cb12,Locket Chatterjee,BJP,Hooghly,cand2515
cb13,Agnimitra Paul,BJP,Medinipur,cand1670
cb14,Saayoni Gosh,TMC,jadavpur,cand828
cb15,Satabdi Roy,TMC,Birbhum,cand4297
cb16,Partha Bhowmick,TMC,Barrackpore,cand2591
cb17,Rachana Banerjee,TMC,Hooghly,cand2556
cb18,June Maliah,TMC,Medinipur,cand987
